ce,mag,supcon,tag,seed,best_epoch,epochs_ran,seconds,tune_macro_f1,tune_f1_worsened,tune_f1_stable,tune_f1_improved,test_macro_f1,test_f1_worsened,test_f1_stable,test_f1_improved
1,1,0,ce1_mag1_supcon0,5,2,22,12.9,0.5522267975737233,0.5352564102564102,0.48312611012433393,0.6382978723404256,0.5754413688700305,0.5548549810844893,0.48306332842415317,0.6884057971014492
1,0,0,ce1_mag0_supcon0,3,1,21,11.9,0.5469735931459119,0.5273972602739726,0.49477351916376305,0.61875,0.5618565036953408,0.5027777777777778,0.4918518518518519,0.6909398814563928
1,1,1,ce1_mag1_supcon1,6,46,66,47.7,0.5172689449730593,0.547112462006079,0.4812286689419795,0.5234657039711191,0.47327535828993766,0.4777911164465786,0.37516869095816463,0.5668662674650699
0,0,1,ce0_mag0_supcon1,0,21,41,27.7,0.48114598772275524,0.45868465430016864,0.4395973154362416,0.5451559934318555,0.4731743814996216,0.4438573315719947,0.36281859070464767,0.6128472222222222
1,0,1,ce1_mag0_supcon1,4,16,36,25.2,0.5096794613878384,0.5023255813953489,0.48,0.5467128027681661,0.4540666911345667,0.46115288220551376,0.3575268817204301,0.5435203094777563
0,1,1,ce0_mag1_supcon1,2,8,28,19.3,0.47329867796686126,0.4290909090909091,0.49165402124430957,0.499151103565365,0.43648073942299764,0.4181091877496671,0.3838383838383838,0.5074946466809421
0,1,0,ce0_mag1_supcon0,1,46,66,35.8,0.33182640710182393,0.4204131227217497,0.2725450901803607,0.3025210084033613,0.34644482505939767,0.41261722080136404,0.27823240589198034,0.3484848484848485
